Nama_Hotel,Top_Positif_Phrase,Bobot_Pos,Top_Negatif_Phrase,Bobot_Neg
The Patra Bali Resort&Villlaa,ngurah rai,0.6498,pengalaman buruk,-1.1969
The Patra Bali Resort&Villlaa,view pantai,0.589,tidak berfungsi,-1.1588
The Patra Bali Resort&Villlaa,luas nyaman,0.5712,kurang bagus,-1.1404
The Patra Bali Resort&Villlaa,deket bandara,0.5659,berusia tahun,-1.0642
The Patra Bali Resort&Villlaa,bersama keluarga,0.5627,harga tidak,-1.005
The Silk Art+Design Hotel,tempat bagus,0.9121,tidak tidur,-1.0269
The Silk Art+Design Hotel,tempat menginap,0.7682,puntung rokok,-1.0017
The Silk Art+Design Hotel,harga terjangkau,0.7423,jangan pernah,-0.9985
The Silk Art+Design Hotel,kecil nyaman,0.6536,bagus masih,-0.9533
The Silk Art+Design Hotel,pelayanan ramah,0.627,harga vs,-0.9398
The Silk Art+Design Hotel,tempat nyaman,0.6227,kurang terawat,-0.9139
The Silk Art+Design Hotel,tempat makan,0.6209,pencahayaan kurang,-0.9054
The Silk Art+Design Hotel,banyak spot,0.6204,gagang pintu,-0.895
The Silk Art+Design Hotel,pohon pinus,0.5677,pintu ga,-0.8526
The Silk Art+Design Hotel,live music,0.5333,kurang bersih,-0.8459
Up-Peak Semarang,lokasi strategis,1.8177,tidak kedap,-1.1453
Up-Peak Semarang,pelayanan ramah,1.563,pelayanan buruk,-1.1327
Up-Peak Semarang,makanannya enak,1.4431,tidak ramah,-1.06
Up-Peak Semarang,simpang lima,1.3332,pertama kali,-1.0501
Up-Peak Semarang,tengah kota,1.1998,terdengar suara,-1.0485
Up-Peak Semarang,makanan enak,1.1009,kurang bersih,-1.0392
Up-Peak Semarang,nyaman bersih,1.0669,tidak dibersihkan,-0.9975
Up-Peak Semarang,pusat kota,1.0405,queen size,-0.9811
Up-Peak Semarang,tempatnya nyaman,0.9904,tdk sesuai,-0.9603
Up-Peak Semarang,hotelnya bagus,0.9845,tempat sampah,-0.9567
Anara Hotel Airports,lokasi strategis,0.9337,ga diangkat,-1.5051
Anara Hotel Airports,tempat nyaman,0.7354,tidak dapat,-1.2001
Anara Hotel Airports,bersih nyaman,0.7282,telpon susah,-1.1672
Anara Hotel Airports,nyaman bersih,0.702,terlalu banyak,-1.1579
Anara Hotel Airports,tinggal jalan,0.6999,jadi tidak,-1.1485
Anara Hotel Airports,terletak terminal,0.6725,hanya orang,-1.0993
Anara Hotel Airports,ruangan bersih,0.651,tidak istimewa,-1.0915
Anara Hotel Airports,bersih bagus,0.6397,baik beberapa,-1.0886
Anara Hotel Airports,pelayanan baik,0.6364,tidak mungkin,-1.0641
Anara Hotel Airports,makanannya enak,0.6251,bau rokok,-0.9847
Aston Priority,pelayanan ramah,1.4318,kurang ramah,-1.5648
Aston Priority,makanannya enak,1.2492,jam baru,-1.2236
Aston Priority,pelayanan bagus,1.2296,mereka tidak,-1.0464
Aston Priority,kamarnya nyaman,1.2284,tidak sesuai,-0.9908
Aston Priority,menginap disini,1.2247,pelayanan buruk,-0.9725
Aston Priority,makanan enak,1.2178,parkir tidak,-0.9478
Aston Priority,mbak siska,1.2018,tamu datang,-0.9417
Aston Priority,nyaman bersih,1.1939,tempat parkir,-0.8842
Aston Priority,staff ramah,1.1537,lama padahal,-0.8631
Aston Priority,pelayanan baik,1.152,junior suite,-0.8266
Golden Tulip Jineng,lokasi strategis,1.5495,kebersihan kurang,-1.1623
Golden Tulip Jineng,staf ramah,1.2214,dua kali,-1.1367
Golden Tulip Jineng,kolam renang,0.9647,tidak tidur,-1.1077
Golden Tulip Jineng,makanan enak,0.8159,tidak bekerja,-1.0448
Golden Tulip Jineng,kamarnya luas,0.7864,ruangan tidak,-0.975
Golden Tulip Jineng,bersih nyaman,0.7541,tidak pernah,-0.9595
Golden Tulip Jineng,dekat bandara,0.743,tidak ramah,-0.957
Golden Tulip Jineng,terima kasih,0.7143,pengalaman buruk,-0.9244
Golden Tulip Jineng,nyaman bersih,0.6945,tidak sopan,-0.9197
Golden Tulip Jineng,bagus staf,0.6729,staf tidak,-0.9105
Grandhika Iskandarsyah Jakarta,lokasi strategis,1.5147,tidak nyaman,-1.1392
Grandhika Iskandarsyah Jakarta,terima kasih,1.4759,parkirnya sempit,-1.1174
Grandhika Iskandarsyah Jakarta,makanannya enak,1.076,parkir luar,-1.0976
Grandhika Iskandarsyah Jakarta,staff ramah,1.0022,pelayanan buruk,-1.076
Grandhika Iskandarsyah Jakarta,jakarta selatan,0.9505,pelayanan kurang,-1.0025
Grandhika Iskandarsyah Jakarta,pelayanannya ramah,0.9481,tdk sesuai,-0.9767
Grandhika Iskandarsyah Jakarta,fasilitas lengkap,0.9474,banyak mobil,-0.9665
Grandhika Iskandarsyah Jakarta,bersih nyaman,0.9423,tempat parkir,-0.9605
Grandhika Iskandarsyah Jakarta,menu sarapan,0.9184,makanan menu,-0.9582
Grandhika Iskandarsyah Jakarta,grandhika iskandarsyah,0.9156,tidak ramah,-0.9398
Grand Inna Medan,pusat kota,1.3809,tidak sesuai,-2.0174
Grand Inna Medan,kota medan,0.9845,tidak terawat,-1.5537
Grand Inna Medan,tengah kota,0.9754,kurang memuaskan,-1.3168
Grand Inna Medan,bersih nyaman,0.9671,terlalu tua,-1.3032
Grand Inna Medan,makanan enak,0.9138,terlalu banyak,-1.2912
Grand Inna Medan,staf ramah,0.9022,udah tua,-1.2546
Grand Inna Medan,menu sarapan,0.8892,tidak ramah,-1.1809
Grand Inna Medan,kolam renangnya,0.8884,kurang bagus,-1.1797
Grand Inna Medan,makanannya enak,0.8829,kurang nyaman,-1.1585
Grand Inna Medan,tempat bagus,0.8824,bau pesing,-1.1476
Grand Inna Samudra Beach,pinggir pantai,1.2195,sikat gigi,-1.4194
Grand Inna Samudra Beach,private beach,0.8721,sabun shampo,-1.118
Grand Inna Samudra Beach,pelayanan baik,0.8164,ac berisik,-1.0892
Grand Inna Samudra Beach,menginap disini,0.8164,cleaning service,-1.08
Grand Inna Samudra Beach,dekat pantai,0.7907,tidak sesuai,-1.0693
Grand Inna Samudra Beach,salah satu,0.7644,tdk terawat,-1.0365
Grand Inna Samudra Beach,pantai pribadi,0.744,mandi kotor,-1.035
Grand Inna Samudra Beach,tempat bagus,0.7408,pelayanan kurang,-1.0292
Grand Inna Samudra Beach,terima kasih,0.7138,pelayanan buruk,-1.0264
Grand Inna Samudra Beach,langsung laut,0.7051,ac rusak,-0.9919
Grand Inna Tunjungan,makanan enak,1.1512,wifi lemot,-1.5236
Grand Inna Tunjungan,staff ramah,1.0923,tidak ramah,-1.3989
Grand Inna Tunjungan,pusat kota,1.0194,kurang ramah,-1.3445
Grand Inna Tunjungan,kota surabaya,0.9851,jika anda,-1.2735
Grand Inna Tunjungan,lokasi strategis,0.9706,kurang terawat,-1.2136
Grand Inna Tunjungan,nyaman bersih,0.9539,fasilitas kurang,-1.2072
Grand Inna Tunjungan,parkir luas,0.9067,baru kali,-1.1576
Grand Inna Tunjungan,staf ramah,0.8677,ga sesuai,-1.1338
Grand Inna Tunjungan,pelayanan ramah,0.8143,mereka hanya,-1.0122
Grand Inna Tunjungan,lokasinya strategis,0.8072,beberapa bagian,-1.0042
Horison Semarang,kota lama,1.5895,mandi rusak,-1.3193
Horison Semarang,pelayanan ramah,1.4101,tidak bagus,-1.1961
Horison Semarang,pelayanannya ramah,1.1343,air bau,-1.0567
Horison Semarang,pelayanan baik,1.0663,kurang bersih,-1.0562
Horison Semarang,lokasi strategis,1.0561,ngga enak,-1.0363
Horison Semarang,tempat strategis,1.0293,mandi kotor,-1.0245
Horison Semarang,hotelnya bagus,1.0119,sarapan tidak,-0.9995
Horison Semarang,kamarnya nyaman,0.9846,terburuk pernah,-0.992
Horison Semarang,pelayanan oke,0.9613,selimut kotor,-0.9768
Horison Semarang,dekat kota,0.9,tidak profesional,-0.946
Jakarta Airport Hotel T2,dekat bandara,1.0156,tidak bekerja,-1.1764
Jakarta Airport Hotel T2,tempat bagus,0.9695,terminal tua,-1.143
Jakarta Airport Hotel T2,staf ramah,0.9336,jalan jauh,-1.0964
Jakarta Airport Hotel T2,soekarno hatta,0.9232,kurang bagus,-1.0275
Jakarta Airport Hotel T2,lokasi strategis,0.9028,pelayanannya buruk,-1.0228
Jakarta Airport Hotel T2,ramah membantu,0.8705,terburuk pernah,-1.0205
Jakarta Airport Hotel T2,pemandangan bagus,0.8171,besar suka,-1.0006
Jakarta Airport Hotel T2,bagus nyaman,0.8068,tidak dianjurkan,-0.9709
Jakarta Airport Hotel T2,bersih nyaman,0.781,bagus namun,-0.9
Jakarta Airport Hotel T2,landasan pacu,0.7412,terlalu lama,-0.8679
Jatiluhur Valley&Resort,tempat bagus,1.1126,harus bayar,-1.5076
Jatiluhur Valley&Resort,waduk jatiluhur,0.7727,tidak terawat,-1.3457
Jatiluhur Valley&Resort,tempatnya nyaman,0.674,kurang nyaman,-1.3035
Jatiluhur Valley&Resort,bersama keluarga,0.6498,sedikit kurang,-1.2426
Jatiluhur Valley&Resort,makanan enak,0.6349,air panas,-1.1947
Jatiluhur Valley&Resort,pelayanan ramah,0.6025,lg renovasi,-1.1285
Jatiluhur Valley&Resort,fasilitas lengkap,0.5741,kurang baik,-1.092
Jatiluhur Valley&Resort,anak sampai,0.5722,jam masih,-0.9723
Jatiluhur Valley&Resort,bagus bersih,0.5607,kasih bintang,-0.9673
Jatiluhur Valley&Resort,pemandangan indah,0.5397,bagus cuma,-0.9596
Mercure Bandung Nexa Supratman,chef yana,1.3962,tempat parkir,-1.2591
Mercure Bandung Nexa Supratman,terima kasih,1.3824,kurang ramah,-1.2077
Mercure Bandung Nexa Supratman,lokasi strategis,1.1063,jadi kurang,-1.1107
Mercure Bandung Nexa Supratman,makanannya enak,1.0834,tamu lain,-0.9748
Mercure Bandung Nexa Supratman,mas rio,1.0614,selama hari,-0.8618
Mercure Bandung Nexa Supratman,pelayanan ramah,1.0417,habis tidak,-0.8609
Mercure Bandung Nexa Supratman,pelayanan baik,1.0181,kurang oke,-0.8485
Mercure Bandung Nexa Supratman,pusat kota,0.9756,parkir kecil,-0.8347
Mercure Bandung Nexa Supratman,pak yana,0.9756,standar bintang,-0.8251
Mercure Bandung Nexa Supratman,makanan enak,0.891,daripada bintang,-0.8225
Mercure Makassar Nexa Pettarani,mba arafah,1.3399,tidak nyaman,-1.3632
Mercure Makassar Nexa Pettarani,makanan enak,1.2008,mereka tidak,-1.3234
Mercure Makassar Nexa Pettarani,kamarnya bersih,1.0916,pintu geser,-1.0957
Mercure Makassar Nexa Pettarani,lokasi strategis,1.0396,tidak rekomendasi,-1.0216
Mercure Makassar Nexa Pettarani,terima kasih,1.0294,sama tidak,-0.9533
Mercure Makassar Nexa Pettarani,staff ramah,0.9741,satu kunci,-0.9447
Mercure Makassar Nexa Pettarani,hotelnya bagus,0.9564,kmr mandi,-0.9383
Mercure Makassar Nexa Pettarani,kamarnya nyaman,0.9402,tidak enak,-0.9117
Mercure Makassar Nexa Pettarani,pelayanan bagus,0.9021,buat istirahat,-0.888
Mercure Makassar Nexa Pettarani,mba arafahh,0.8994,lain kali,-0.8846
Novotel Bali Airports,terima kasih,1.2324,pukul pagi,-1.1619
Novotel Bali Airports,dekat bandara,1.1732,memiliki banyak,-1.1525
Novotel Bali Airports,tempat bagus,1.0369,tidak berfungsi,-1.077
Novotel Bali Airports,sri wiyani,1.0191,pelayanan buruk,-1.0495
Novotel Bali Airports,lokasi bagus,0.9702,tidak baik,-0.939
Novotel Bali Airports,staf ramah,0.9549,buruk tidak,-0.9309
Novotel Bali Airports,bersih nyaman,0.9475,tidak nyaman,-0.9279
Novotel Bali Airports,kolam renang,0.9066,kecuali jika,-0.892
Novotel Bali Airports,larut malam,0.8212,semua ulasan,-0.8887
Novotel Bali Airports,bagus staf,0.8125,sulit menemukan,-0.8482
Patra Cirebon Hotel&Convention,kota cirebon,1.0731,tidak ramah,-1.578
Patra Cirebon Hotel&Convention,lokasi strategis,1.0575,namun sayang,-1.2801
Patra Cirebon Hotel&Convention,bersih nyaman,0.9705,sekelas patra,-1.1653
Patra Cirebon Hotel&Convention,patra cirebon,0.9703,sayang kolam,-1.1204
Patra Cirebon Hotel&Convention,pelayanan ramah,0.7943,kurang bagus,-1.1173
Patra Cirebon Hotel&Convention,gunung ciremai,0.7909,cita rasanya,-1.0616
Patra Cirebon Hotel&Convention,pelayanan baik,0.7602,harga tidak,-1.0417
Patra Cirebon Hotel&Convention,nyaman bersih,0.7598,tidak puas,-0.9942
Patra Cirebon Hotel&Convention,bagus nyaman,0.727,ngga refill,-0.9917
Patra Cirebon Hotel&Convention,makanannya enak,0.6845,mereka mengirim,-0.9456
Patra Semarang Hotel&Convention,makanan enak,1.385,uang parkir,-1.3727
Patra Semarang Hotel&Convention,luas bersih,1.2504,kurang nyaman,-1.2888
Patra Semarang Hotel&Convention,salah satu,1.2493,bayar parkir,-1.2801
Patra Semarang Hotel&Convention,nyaman bersih,1.2314,kurang bersih,-1.1091
Patra Semarang Hotel&Convention,pelayanan ramah,1.1599,tidak ramah,-1.0619
Patra Semarang Hotel&Convention,parkir luas,1.1582,loket parkir,-1.0368
Patra Semarang Hotel&Convention,kolam renangnya,1.0994,sprei sarung,-0.9765
Patra Semarang Hotel&Convention,tempat parkir,1.0598,kurang diperhatikan,-0.9651
Patra Semarang Hotel&Convention,makanannya enak,1.0523,fasilitas banyak,-0.9579
Patra Semarang Hotel&Convention,kolam renang,1.0466,tidak layak,-0.9504
Sari Ater Kamboti,lokasi strategis,0.8998,kurang memuaskan,-1.5441
Sari Ater Kamboti,fasilitas lengkap,0.8853,tidak berfungsi,-1.5439
Sari Ater Kamboti,pelayanan ramah,0.8644,tidak apaapa,-1.4948
Sari Ater Kamboti,luas nyaman,0.7994,tolong perbaiki,-1.366
Sari Ater Kamboti,makanan enak,0.6836,gak nyaman,-1.2899
Sari Ater Kamboti,bersih nyaman,0.6712,buruk tidak,-1.2282
Sari Ater Kamboti,parkir luas,0.665,resepsionis kurang,-1.132
Sari Ater Kamboti,tempat nyaman,0.6487,masih banyak,-1.1126
Sari Ater Kamboti,banyak pilihan,0.6311,makanan aja,-1.0074
Sari Ater Kamboti,kolam renang,0.6222,kurang enak,-0.92
Sheraton Bandara,terima kasih,0.9725,kamarnya bau,-1.0207
Sheraton Bandara,kolam renang,0.7524,satu jam,-0.8717
Sheraton Bandara,staf ramah,0.6358,bau apek,-0.7638
Sheraton Bandara,terbaik pernah,0.5539,mereka tidak,-0.7218
Sheraton Bandara,tempat bagus,0.5164,mandi tidak,-0.681
Sheraton Bandara,sheraton bandara,0.5021,terlalu jauh,-0.6544
Sheraton Bandara,sheraton jakarta,0.5017,direnovasi sarapannya,-0.6477
Sheraton Bandara,makanan enak,0.4689,tidak pernah,-0.6259
Sheraton Bandara,tinggal sini,0.4544,tidak terlalu,-0.62
Sheraton Bandara,soekarno hatta,0.4471,pesawat bandara,-0.6115
Swissbel Balikpapan,makanan enak,1.2819,kurang menyenangkan,-1.2282
Swissbel Balikpapan,pelayanan baik,1.1438,bau apek,-1.0821
Swissbel Balikpapan,terima kasih,1.0742,jam siang,-1.0623
Swissbel Balikpapan,pelayanannya ramah,1.0668,waktu check,-1.0176
Swissbel Balikpapan,mbak maqda,1.0602,lama tidak,-0.9867
Swissbel Balikpapan,mas juken,1.0555,kurang baik,-0.9345
Swissbel Balikpapan,bersih nyaman,0.9877,mati lampu,-0.9292
Swissbel Balikpapan,view laut,0.987,tempat duduk,-0.8871
Swissbel Balikpapan,pelayanan ramah,0.9826,setengah jam,-0.8712
Swissbel Balikpapan,pelayanannya baik,0.9079,tidak bersih,-0.8677
Truntum Cihampelas,lokasi strategis,0.3151,permintaan maaf,-0.9542
Truntum Cihampelas,staf ramah,0.2814,nginep disini,-0.778
Truntum Cihampelas,makanan enak,0.2657,oke lah,-0.6162
Truntum Cihampelas,menginap truntum,0.2523,air panas,-0.5997
Truntum Cihampelas,welcome drink,0.2386,masih baru,-0.4197
Truntum Cihampelas,kolam renang,0.2263,pembuangan air,-0.2629
Truntum Cihampelas,staff ramah,0.2253,jam malam,-0.2629
Truntum Cihampelas,menginap truntum cihampelas,0.2204,air dingin,-0.2547
Truntum Cihampelas,terima kasih,0.1897,air mandi,-0.2272
Truntum Cihampelas,semua staff,0.1818,saat checkout,-0.2272
Truntum Kuta,pantai kuta,1.6038,tidak seperti,-1.5507
Truntum Kuta,tempat bagus,1.3076,bahkan tidak,-1.4924
Truntum Kuta,dekat pantai,1.3058,bau apek,-1.4857
Truntum Kuta,menghadap pantai,1.2749,tidak ramah,-1.4057
Truntum Kuta,terima kasih,1.244,tidak nyaman,-1.2509
Truntum Kuta,langsung pantai,1.1884,tidak pernah,-1.1589
Truntum Kuta,nginep disini,1.0942,hari pertama,-1.1566
Truntum Kuta,dipinggir pantai,0.9554,sini lagi,-1.133
Truntum Kuta,ramah membantu,0.941,tidak merekomendasikan,-1.1322
Truntum Kuta,namun tidak,0.9138,tidak memberikan,-1.1247
Truntum Padang,kota padang,1.3283,kurang nyaman,-1.319
Truntum Padang,grand inna,1.2849,kurang ramah,-1.1403
Truntum Padang,pusat kota,1.2027,tidak memuaskan,-1.1028
Truntum Padang,pelayanan baik,1.0973,kurang baik,-1.0374
Truntum Padang,makanannya enak,1.0169,tiap hari,-1.0088
Truntum Padang,staff ramah,0.9294,makanan kurang,-0.9873
Truntum Padang,hotelnya nyaman,0.9075,uang deposit,-0.9848
Truntum Padang,sarapan pagi,0.9031,tidak enak,-0.9826
Truntum Padang,kamarnya luas,0.8855,sinyal wifi,-0.969
Truntum Padang,kolam renangnya,0.8599,aja ga,-0.9531
Truntum Sanur,pantai kuta,1.5028,bahkan tidak,-1.4192
Truntum Sanur,dekat pantai,1.3143,tidak ramah,-1.3305
Truntum Sanur,tempat bagus,1.2424,tidak seperti,-1.171
Truntum Sanur,terima kasih,1.2046,tidak nyaman,-1.1645
Truntum Sanur,langsung pantai,1.0642,kurang ramah,-1.1605
Truntum Sanur,menghadap pantai,1.0089,hari pertama,-1.0798
Truntum Sanur,nginep disini,0.8686,sama tidak,-1.0766
Truntum Sanur,ramah membantu,0.8666,tidak merekomendasikan,-1.0179
Truntum Sanur,bersih nyaman,0.7624,tidak tahu,-0.9232
Truntum Sanur,lokasi terbaik,0.7471,staf tidak,-0.9221
Vasaka Hotel Jakarta,lokasi strategis,1.6808,parkiran sempit,-1.5957
Vasaka Hotel Jakarta,terima kasih,1.5838,mobil sempit,-1.3337
Vasaka Hotel Jakarta,makanannya enak,1.45,banyak nyamuk,-1.2092
Vasaka Hotel Jakarta,makanan enak,1.3814,parkir valet,-1.1017
Vasaka Hotel Jakarta,pelayanan baik,1.3171,sama apa,-1.0247
Vasaka Hotel Jakarta,mas fahmi,1.2025,baik parkir,-1.0118
Vasaka Hotel Jakarta,pelayanan bagus,1.1695,tidak tersedia,-0.9993
Vasaka Hotel Jakarta,pelayanan ramah,0.9987,coklat sebagai,-0.9917
Vasaka Hotel Jakarta,banyak pilihan,0.9631,akses jalan,-0.9716
Vasaka Hotel Jakarta,kamarnya bersih,0.9484,satu hal,-0.9418
Vasaka Maison Bandung,terima kasih,1.0766,pintu mandi,-1.3629
Vasaka Maison Bandung,makanannya enak,1.0644,mereka tidak,-1.3522
Vasaka Maison Bandung,staff ramah,0.8575,tidak menyenangkan,-1.0975
Vasaka Maison Bandung,kota bandung,0.8437,bersih lokasi,-0.9887
Vasaka Maison Bandung,lokasi strategis,0.8268,kamarnya sempit,-0.9719
Vasaka Maison Bandung,pusat kota,0.8267,mobil jadi,-0.9618
Vasaka Maison Bandung,alun alun,0.777,smoking area,-0.92
Vasaka Maison Bandung,kolam renang,0.7238,parkir terbatas,-0.9028
Vasaka Maison Bandung,secara keseluruhan,0.711,kurang memuaskan,-0.8953
Vasaka Maison Bandung,kamarnya nyaman,0.6991,bagus tp,-0.8717
Bali Beach Collection Heritage,pantai sanur,1.3994,tidak nyaman,-1.217
Bali Beach Collection Heritage,dekat pantai,0.7631,sepeda motor,-1.0364
Bali Beach Collection Heritage,kolam renangnya,0.6761,hanya cocok,-1.0303
Bali Beach Collection Heritage,pinggir pantai,0.656,ga jelas,-1.019
Bali Beach Collection Heritage,terima kasih,0.6156,para driver,-0.9485
Bali Beach Collection Heritage,bersih nyaman,0.5848,lokasinya bagus,-0.9325
Bali Beach Collection Heritage,matahari terbit,0.5827,menunggu lama,-0.9294
Bali Beach Collection Heritage,layanan baik,0.5806,sedang pembangunan,-0.9287
Bali Beach Collection Heritage,staf baik,0.5401,tidak bekerja,-0.8459
Bali Beach Collection Heritage,akses pantai,0.535,keluarga punya,-0.8412
Bali Beach Hotel&The Meru Resort,terima kasih,1.0004,menunggu lama,-1.1643
Bali Beach Hotel&The Meru Resort,fasilitas lengkap,0.84,tidak sesuai,-1.0927
Bali Beach Hotel&The Meru Resort,kembali lagi,0.8258,tidak nyaman,-1.0627
Bali Beach Hotel&The Meru Resort,pertama kali,0.8257,tetapi tidak,-0.9632
Bali Beach Hotel&The Meru Resort,tempat sempurna,0.8108,tidak ramah,-0.933
Bali Beach Hotel&The Meru Resort,pengalaman luar,0.7928,stay meru,-0.8831
Bali Beach Hotel&The Meru Resort,ramah membantu,0.7922,tidak menginap,-0.8459
Bali Beach Hotel&The Meru Resort,meru sanur,0.7804,parkir motor,-0.8208
Bali Beach Hotel&The Meru Resort,terbaik sanur,0.7482,baru masuk,-0.8066
Bali Beach Hotel&The Meru Resort,banyak kegiatan,0.7227,terlalu banyak,-0.8002
Brothers Babarsari Yogyakarta,harga terjangkau,0.7431,kamarnya sempit,-1.5298
Brothers Babarsari Yogyakarta,lokasi strategis,0.7303,gak enak,-1.1858
Brothers Babarsari Yogyakarta,hotelnya bersih,0.6368,pelayanan resepsionisnya,-1.14
Brothers Babarsari Yogyakarta,harga murah,0.5561,kurang ramah,-1.101
Brothers Babarsari Yogyakarta,tempatnya nyaman,0.5451,denda rb,-0.9675
Brothers Babarsari Yogyakarta,tempat nyaman,0.5429,oke sih,-0.9435
Brothers Babarsari Yogyakarta,kamarnya bersih,0.536,makan pagi,-0.8581
Brothers Babarsari Yogyakarta,brothers inn,0.4888,bersih ukuran,-0.8368
Brothers Babarsari Yogyakarta,menu sarapan,0.4562,sempit bahkan,-0.8249
Brothers Babarsari Yogyakarta,atm bca,0.4457,kurang luas,-0.8209
BW Premiere Bandung,lokasi strategis,1.8564,tidak sesuai,-1.4465
BW Premiere Bandung,staff ramah,1.3822,kecil tidak,-1.1568
BW Premiere Bandung,kolam renang,1.3733,parkir susah,-1.1202
BW Premiere Bandung,terima kasih,1.1692,tempat parkir,-1.0965
BW Premiere Bandung,pelayanan ramah,1.0988,tidak jujur,-1.0376
BW Premiere Bandung,staf ramah,1.089,pelayanan buruk,-1.0125
BW Premiere Bandung,kota bandung,1.0842,kamarnya kotor,-0.9796
BW Premiere Bandung,nyaman bersih,1.053,pihak restonya,-0.905
BW Premiere Bandung,lokasinya strategis,1.0414,pelayanan jelek,-0.9041
BW Premiere Bandung,kamarnya luas,1.0364,jelek pelayanan,-0.9019
Grand Anara Jakarta T3,grand anara,0.6555,mereka tidak,-1.1006
Grand Anara Jakarta T3,terminal domestik,0.6369,tidak memperhatikan,-1.0401
Grand Anara Jakarta T3,terima kasih,0.6096,air panas,-0.9472
Grand Anara Jakarta T3,staf ramah,0.5789,resepsionis tidak,-0.8054
Grand Anara Jakarta T3,makanannya enak,0.4795,jam malam,-0.7375
Grand Anara Jakarta T3,ramah membantu,0.4513,kedap suara,-0.7074
Grand Anara Jakarta T3,bersih wangi,0.4363,nginep sini,-0.7002
Grand Anara Jakarta T3,pelayanan bagus,0.4312,mereka memiliki,-0.6087
Grand Anara Jakarta T3,luas nyaman,0.4139,parkiran domestik,-0.5817
Grand Anara Jakarta T3,staff ramah,0.4056,anara domestik,-0.5315
Jivva Bali,tempat nyaman,0.4667,jika anda,-1.1237
Jivva Bali,pantai lepang,0.4177,terlalu mahal,-1.0715
Jivva Bali,tempat indah,0.4052,kentang goreng,-1.0339
Jivva Bali,terima kasih,0.3863,ketika tiba,-0.7419
Jivva Bali,beach club,0.3536,staf tidak,-0.716
Jivva Bali,dekat pantai,0.3413,nasi goreng,-0.6939
Jivva Bali,suara ombak,0.3225,kalau kamu,-0.6486
Jivva Bali,tempat bagus,0.3006,overall bagus,-0.641
Jivva Bali,pantai bagus,0.2798,kolam renangnya,-0.6278
Jivva Bali,tempatnya bagus,0.2789,mendapatkan beberapa,-0.6253
Merumatta Senggigi Lombok,makanannya enak,0.9267,banyak nyamuk,-1.3526
Merumatta Senggigi Lombok,akses pantai,0.8396,buruk kamarnya,-1.2596
Merumatta Senggigi Lombok,lokasi strategis,0.8129,layanan buruk,-1.1985
Merumatta Senggigi Lombok,tidak terlalu,0.8078,kurang terawat,-1.1948
Merumatta Senggigi Lombok,staf ramah,0.7849,pelayanannya buruk,-1.1539
Merumatta Senggigi Lombok,matahari terbenam,0.7759,tetapi tidak,-1.1096
Merumatta Senggigi Lombok,pantai senggigi,0.7664,beberapa kali,-1.1029
Merumatta Senggigi Lombok,pemandangan laut,0.7528,hanya memiliki,-1.0606
Merumatta Senggigi Lombok,pelayanan ramah,0.7498,sampai lokasi,-1.0046
Merumatta Senggigi Lombok,langsung pantai,0.7492,pelayanan buruk,-1.0023
Meruorah Labuan Bajo,labuan bajo,1.1629,mereka tidak,-1.3119
Meruorah Labuan Bajo,pemandangan indah,1.1049,tidak dapat,-1.1093
Meruorah Labuan Bajo,pemandangan bagus,0.9149,bukan bintang,-1.0328
Meruorah Labuan Bajo,staf ramah,0.8789,tidak nyaman,-1.0033
Meruorah Labuan Bajo,lokasi strategis,0.8524,staf tidak,-0.8922
Meruorah Labuan Bajo,pemandangan luar,0.8145,mandi bau,-0.8288
Meruorah Labuan Bajo,matahari terbenam,0.8013,anda tidak,-0.8047
Meruorah Labuan Bajo,pusat kota,0.7961,tidak tidak,-0.7847
Meruorah Labuan Bajo,pemandangan laut,0.7393,bukti suara,-0.7745
Meruorah Labuan Bajo,terima kasih,0.6402,tidak mendapatkan,-0.7637
Merusaka Nusa Dua,tempat indah,1.2636,pelayanan buruk,-1.5327
Merusaka Nusa Dua,staf ramah,1.1508,tidak ramah,-1.4056
Merusaka Nusa Dua,makanan enak,1.0972,tidak merekomendasikan,-1.3013
Merusaka Nusa Dua,tidak sampai,1.0335,terburuk pernah,-1.2282
Merusaka Nusa Dua,tempat bagus,1.0279,apa pun,-1.1896
Merusaka Nusa Dua,semua orang,1.027,sebagian besar,-1.1706
Merusaka Nusa Dua,banyak pilihan,1.0032,tidak seperti,-1.154
Merusaka Nusa Dua,kolam pribadi,0.9539,bahkan tidak,-1.0885
Merusaka Nusa Dua,setiap hari,0.9278,tidak dapat,-1.0719
Merusaka Nusa Dua,staff ramah,0.9268,sama tidak,-1.0173
Prama Sanur Beach,pantai sanur,1.3011,bukan tempat,-1.0503
Prama Sanur Beach,private beach,1.2075,tempat tidur,-1.0064
Prama Sanur Beach,fasilitas lengkap,1.1245,kurang ramah,-0.9891
Prama Sanur Beach,makanan enak,1.0731,perlu renovasi,-0.9818
Prama Sanur Beach,pelayanan baik,0.9927,kamarnya tua,-0.9188
Prama Sanur Beach,pantai pribadi,0.959,area umum,-0.9104
Prama Sanur Beach,lokasi strategis,0.8725,sama tidak,-0.8843
Prama Sanur Beach,sanur beach,0.8581,tidak pernah,-0.8825
Prama Sanur Beach,pantai bersih,0.8454,anda mendapatkan,-0.8611
Prama Sanur Beach,kolam besar,0.8402,tidak mendapatkan,-0.8457
Pullman Mandalika,kolam renang,1.0761,tidak tersedia,-1.0918
Pullman Mandalika,makanan enak,0.5797,banyak tamu,-1.0128
