User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Barra Mahatva,2025,3,menginap pada hari Jumat 26 12 2025 secara umum layanannya oke tapi ada beberapa hal yang perlu diperhatikan 1 basement 3 tidak tercover oleh lift ini sangat merepotkan ketika kita datang tidak ada petugas yang mengarahkan ke lobi untuk reservasi maka kita langsung masuk ke parkir diarahkan ke basement 3 karena b1 dan b2 sudah penuh akhirnya kita harus ngangkat barang2 kita termasuk koper besar menuju basement 2 dengan naik tangga manual untuk petugas parkir perlu ditingkatkan kompetensi nya harus berhenti dulu ditanya mau memeriksa masuk atau tidak langsung mengarahkan ke b3 lebih mengecewakan lagi ketika sampai b2 ternyata masih ada beberapa,KOMPETITOR,Bintang 4,TheAlana,negative,0.9404118061065674,Service Quality,"Service Quality (0.87); Facilities & Amenities (0.75); Location, Accessibility & Parking (0.69)"
Nurun Fauka Nuri,2025,5,makanannya enak dan bersih pelayanan juga bagus cepat dilayani dengan kak ika pelayanan oke dan ramah,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994814991950989,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (1.00); Cleanliness, Hygiene & Maintenance (0.99); Guest Experience (0.99)"
boby endrasworo,2025,5,sudah langgananku selama saya ke solo sering juga keadaan masih sama kamar oke lah ngga ada kendala cuman sajadah untuk sholat tidak ada restoran oke juga untuk menu lengkap enak enak pelayanan dengan mas roy iskandar sangat membantu,KOMPETITOR,Bintang 4,TheAlana,positive,0.9991186261177063,Facilities & Amenities,Facilities & Amenities (0.94); Guest Experience (0.93); Service Quality (0.91)
Nailah Shiba,2025,5,Palayanan sangat membantu saat sarapan di restoran makanan enak menu hari ini meskipun sarapan alacarte tapi saya merasa sangat membantu pada saat sarapan tidak harus kemana makanan di sajikan di meja terimakasih untuk staf restoran untuk pelayananya,KOMPETITOR,Bintang 4,TheAlana,positive,0.9990144968032837,Service Quality,Service Quality (0.99); Guest Experience (0.97); Staff Conduct & Hospitality (0.94)
Mery Nalni,2025,3,Pelayanan oke fasilitas kamar sudah perlu pembaharuan bantal bed cover dan sprei terlihat menggunakan dan kusam bahkan tangan sudah keluar benang2nya,KOMPETITOR,Bintang 4,TheAlana,negative,0.9958869814872742,Service Quality,Service Quality (0.98); Facilities & Amenities (0.93); Guest Experience (0.85)
zahra Putri,2025,5,menyetujui untuk masakan dan sajian apalgi tempatnya lantai 2 dengan pemandangan kolam renang nya bikin dingin dan tenang dan saya sangat terbantu atas pelayanan kak cika yang sangat ramah melihat Anda tahun depan lagi sebagai salah satu buku yang paling berharga itu,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993359446525574,Food & Beverage,Food & Beverage (1.00); Service Quality (1.00); Guest Experience (1.00)
Anita Mawartiningsih,2025,5,Semua makanan oke punya pelayanan dengan mbk sella virginia lumayan memuaskan opera kue mantep jg sandwich mentai juga kereen abizz pokok nya tidak rugi tinggal di alana,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995101690292358,Service Quality,Service Quality (0.99); Guest Experience (0.99); Food & Beverage (0.98)
Nida Adila,2025,5,makanan enak kopi juga enak semua enak mba dewi dari resto hotel mantap pelayanannya,KOMPETITOR,Bintang 4,TheAlana,positive,0.999183714389801,Service Quality,Service Quality (1.00); Food & Beverage (1.00); Guest Experience (0.98)
Lathifa Tunnisa,2025,5,Check masuk dengan ka adinda cepat dan solutif hotel bersih rapi staf ramah,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993888139724731,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (1.00); Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.99)"
Damir,2025,5,Staycation di sini bagi kami org solo sangat menenngkan servis baik staf ramah keluarga ramah,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993361830711365,Service Quality,Service Quality (1.00); Family & Group Friendly (1.00); Guest Experience (1.00)
Harlyssayana Karnalis,2025,5,kamarnya enak makanan sarpan nya juga enak tempat nya strategis karna banyak yang menjual makanan di sekitar nya pelayanan dari mba dewi cukup memuaskan,KOMPETITOR,Bintang 4,TheAlana,positive,0.9990612864494324,Guest Experience,Guest Experience (0.99); Service Quality (0.99); Room Quality & Comfort (0.99)
Suci Ramadhani,2025,5,makanan lengkap dan proses mengisi kembali cepat stafnya care dan sangat ramah pelayanannya sangat memuaskan sangat nyaman berada di resto perut kenyang hatipun senang,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995110034942627,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Service Quality (1.00); Staff Conduct & Hospitality (0.99)
Ikatrina Ikatrina,2025,5,hotel ini sudah jadi langganan saat liburan dinas maupun keluarga semuanya baik mulai dari pelayanan makanan hingga kamar yang ckp luas parkiriran jg oke overall puas selama tinggal dsini staf nya juga ramah dilayani oleh ika,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993718266487122,Facilities & Amenities,"Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99); Location, Accessibility & Parking (0.99)"
Untung Priyono,2025,5,kamarnya nyaman bersih dan pelayanan stafnya baik,KOMPETITOR,Bintang 4,TheAlana,positive,0.9989338517189026,Service Quality,Service Quality (1.00); Room Quality & Comfort (0.99); Facilities & Amenities (0.99)
Bagus Rossy,2025,5,Pelayanan dari stafnya sudah baik dan ramah makananya secara keseluruhan juga enak dan pilihanya variatif tempatnya juga nyaman terimakasih atas pelayannya terutama mas ahmad,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993515610694885,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Service Quality (0.99); Facilities & Amenities (0.98)
Moto 4nn4,2025,5,Cool hotel lokasi sangat baik di jalan utama dan akses mudah parkir tersedia dan memiliki akses lift dari ruang bawah tanah ke kamar dengan akses kartu cek masuk proses cepat kamar sangat luas dan memiliki sofa besar kursi kamar mungkin terlihat usang untuk pengunjung yang suka untuk modern minimalist tetapi untuk keluarga seperti kita memiliki ruang yang murah hati kolam renang baik-baik saja juga saluran televisi lengkap dan memiliki akses ke online youtube memberikan pilihan bagi keluarga dengan anak-anak kecil untuk melihat hiburan online petunjuk kita memesan kamar tanpa sarapan tetapi tidak perlu khawatir seperti dekat di luar masuk depan hotel,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994214773178101,Facilities & Amenities,"Facilities & Amenities (1.00); Location, Accessibility & Parking (1.00); Service Efficiency & Responsiveness (0.98)"
Faath,2025,5,Ksini dapet voucher sarapan dari acara yudisium enak makanan2 nya,KOMPETITOR,Bintang 4,TheAlana,positive,0.9991223216056824,Food & Beverage,"Food & Beverage (0.80); Guest Experience (0.66); Loyalty, Recommendation & Appreciation (0.59)"
Sulamit Endah,2025,5,Pelayanan di alana sangat memuaskan c masuk dan c keluar sangat nyaman sarapan enak dan semua petugaa ramah terutama mbak ratna yang penuh senyum melayani trima kasih alana sampai jumpa d staycation selanjutnya,KOMPETITOR,Bintang 4,TheAlana,positive,0.99937504529953,Check in/out Experience,Check in/out Experience (0.99); Guest Experience (0.99); Service Quality (0.99)
gedelwind,2025,5,3 malam nginap disini rasanya nyaman apalagi lantai 2 tempat saya mengadakan acara kolamnya cukup layanan mantap suasana tenang dan nyaman untuk sarapan juga enak semua menu yang ngelayani juga cantik2 dan sebagai perokok tentunya senang jika ada area merokok yang juga saat membuat nglamun habis sarapan kurangnya cuma satu di kamar yang merokok tidak disediakan asbak jika ke solo lagi jelas saya akan nginap disini lagi saya akan menulis ini sambil ditemani mbak dewi yang cantik jelita,KOMPETITOR,Bintang 4,TheAlana,positive,0.9988021850585938,Service Quality,Service Quality (0.97); Facilities & Amenities (0.97); Guest Experience (0.91)
Herlina Kristianto,2025,5,hotel yang oke dengan lokasi yang strategis pelayanan jg oke cepat sarapannya oke hotel yang ramah untuk anak2 pelayanan cek masuk cek keluar yang cepat terima kasih mba ratna mba ririn,KOMPETITOR,Bintang 4,TheAlana,positive,0.999409556388855,Check in/out Experience,Check in/out Experience (0.99); Service Efficiency & Responsiveness (0.99); Guest Experience (0.98)
Todik Setiyawan,2025,5,Alhamdulillah mendapat tempat menginap yabg proper dan cukup mewah pelayanan ramah dan memuaskan saya dilayani dengan mbak cindy resepsionis pelayanannya sangat memuaskan terima kasih alana solo,KOMPETITOR,Bintang 4,TheAlana,positive,0.9990967512130737,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.98); Service Quality (0.98); Guest Experience (0.97)
rima andysurya,2025,5,sering menginap di sini fasilitas lengkap lokasi strategis dan pelayanan hotel ramah sangat bersih selalu jadi pilihan tempat menginap di solo saat ini kami dilayani mba cindy staf yang ramah,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995235204696655,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (0.99); Service Quality (0.99)
dimaz firmansyah,2025,5,hotel bagus sangat bersih dan nyaman makanan enak,KOMPETITOR,Bintang 4,TheAlana,positive,0.9990309476852417,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.98); Service Quality (0.97)"
ariadini krisnasari,2025,5,sangat baik makanan juga enak kamar bersih kamar mandi bersih ini yang ke 4 kami menginap di solo kali ini saya dilayani oleh mbak iya,KOMPETITOR,Bintang 4,TheAlana,positive,0.9980610013008118,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Room Quality & Comfort (0.99)"
Mustarikha Mustarikha,2025,5,hotel yang nyaman dan anak-anak friendly menu sarapannya pun beragam dan lezat pelayanan terutama di restoran sangat ramah terimakasih mbak dewi yang sudah memberikan layanan terbaiknya dan membuat kami merasa nyaman di hotel alana solo,KOMPETITOR,Bintang 4,TheAlana,positive,0.9992687106132507,Service Quality,Service Quality (0.99); Staff Conduct & Hospitality (0.98); Family & Group Friendly (0.96)
Yuni W77,2025,5,dilayani kak cindy sangat membantu hotelnya bersih top pelayanannya,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994348883628845,Service Quality,"Service Quality (0.99); Cleanliness, Hygiene & Maintenance (0.97); Service Efficiency & Responsiveness (0.95)"
Rizka Putri ariani,2025,4,tempatnya strategis kamarnya nyaman untuk fasitas nya jg oke ada kolam renangnya jg untuk anak dan dewasa terpisah jadi cukup aman untik anak2 berenang ada taman bermainnya kg tempat ditnesnya jg nyaman alatnya lengkap sarapan lengkap dari yang asia sampai staf barat nya jg ramah terimakasih hotel alana dan mba ika,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995102882385254,Facilities & Amenities,Facilities & Amenities (0.99); Family & Group Friendly (0.99); Staff Conduct & Hospitality (0.97)
Gg Setiyawan,2025,1,batik saya tertinggal di kamar saya tanya tidak ada yang tahu,KOMPETITOR,Bintang 4,TheAlana,negative,0.981111466884613,Guest Experience,Guest Experience (0.82); Cultural & Heritage Experience (0.68); Safety & Security (0.56)
Smart Light Photography,2025,5,Staff nya rumah dan sangat membantu terutama meja depan mas natan dan kamar anak yang menawarkan pengantaran pergi makan ke kamar saya sangat apresiasi niat baiknya terima kasih,KOMPETITOR,Bintang 4,TheAlana,positive,0.9987820982933044,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Guest Experience (0.99); Facilities & Amenities (0.99)
Nia Siti Aisyah,2025,5,tempatnya strategis nyaman dan hotelnya bersih stafnya ramah makanannya enak,KOMPETITOR,Bintang 4,TheAlana,positive,0.9992302656173706,Facilities & Amenities,"Facilities & Amenities (1.00); Service Quality (0.98); Cleanliness, Hygiene & Maintenance (0.98)"
Hikmah Hadipranoto,2025,5,menu sarapan variatif makanan indonesia barat dan asia sushi dll pelayanan memuaskan kebersihan sangat terjaga dianjurkan untuk mengunjungi lagi kamar luas dan bersih pelayanan ramah latte coffenya enak kolam renang demgan view menarik terimakasih kak dewi untuk pelayanannya,KOMPETITOR,Bintang 4,TheAlana,positive,0.9996356964111328,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Service Quality (1.00); Facilities & Amenities (0.99)"
Dzakyyah Evelia,2025,5,dapat voucher dari kantor buat sarapan di alana hotel makanan nya enak cukup bingung memilih mau makan apa dulu karna banyak banget menu pelayanan jugaa bagus gercep kalau ada piring kosong diatas meja pramusaji nya kek kek kek kek kek kek juga juga ramah sopann rekomendasi jika mau menginap disini,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994226694107056,Service Quality,Service Quality (0.95); Food & Beverage (0.86); Guest Experience (0.80)
Shenda Aprilia,2025,5,hotelnya luas pelayanan dari setiap stafnya baik dan ramah proses cek keluar dibantu dengan staf mbak ririn jadi lebih mudah dan ramah terima kasih,KOMPETITOR,Bintang 4,TheAlana,positive,0.9991492033004761,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.99); Staff Conduct & Hospitality (0.99); Guest Experience (0.99)
Sinn Aa,2025,5,kamarnya oke untuk fasilitas nya lengkap makanan saat sarapan juga banyak varian dan anak-anak ramah sangat lucu hiasannya anggur jawa nya menyegarkan pelayanan yang diberikan yang terbaik baik dan ramah terimakasih kak dewi,KOMPETITOR,Bintang 4,TheAlana,positive,0.9992715716362,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (0.99); Guest Experience (0.98)
Nanda Sirajulmunir,2025,5,Terima kasih atas keramahannya dan proses checkin yang mudah salam untuk mba adinda dan mba ririn danke,KOMPETITOR,Bintang 4,TheAlana,positive,0.9917712807655334,Service Quality,Service Quality (0.99); Service Efficiency & Responsiveness (0.99); Staff Conduct & Hospitality (0.96)
AYR _Punya,2025,5,pelayanan memuaskan makanan berpariasi dilayanin oleh mba ika yang super ramah,KOMPETITOR,Bintang 4,TheAlana,positive,0.9991115927696228,Service Quality,Service Quality (1.00); Guest Experience (0.99); Staff Conduct & Hospitality (0.97)
Agus Syamsul,2025,5,Hotel nya yang terbaik sarapan nya banyak ramah ramah semua 5 jam d hotel alana pasti puas kolam renang nya ada yang teduh nya buat anak2 bisa renang kapan saja tidak panas taman bermain juga jadi tidak membosankan,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995869994163513,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Service Efficiency & Responsiveness (0.98)
Yasinta Zuyyin.k,2025,5,pengalaman menginap yang menyenangkan fasilitas lengkap dan sesuai standar bintang 4 layanan yang baik rasa yang baik dan tempat yang baik resto nyaman dan luas terimakasih mba dewi sbg pelayan yang ada di resto pagi ini,KOMPETITOR,Bintang 4,TheAlana,positive,0.9989199638366699,Service Quality,Service Quality (0.99); Facilities & Amenities (0.99); Room Quality & Comfort (0.98)
Muh Rifqi,2025,4,kamar cukup oke ac dingin bahkan tanpa ac pun sudah cukup dingin untuk suhu ruangan tidak mengunakan karpet kolam renang juga cukup oke karena ada 3 jenis makanan untuk anak terutama menu sarapan juga oke dan cukup bayak pilihan oh untuk kamar ada masalah sedikit terutama di bagian pintu yang agak sulit di buka setelah swipe,KOMPETITOR,Bintang 4,TheAlana,positive,0.9938657879829407,Facilities & Amenities,Facilities & Amenities (0.92); Food & Beverage (0.75); Room Quality & Comfort (0.69)
alvioneta nafisah,2025,5,makanannya enak banyak variasi dan pelayanannya juga ramah sangat membantu terimakasih mba ika,KOMPETITOR,Bintang 4,TheAlana,positive,0.9992138147354126,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.96); Staff Conduct & Hospitality (0.95); Service Quality (0.92)
Rere Anggraeni,2025,5,sangat terbantu sekali dengan pelayanannya terimakasih dengan kak Cindy dn staf2 lainnya sangat ramah sekali layanan kamar juga cepat sudah bolak balik kesini hampir 3x dianjurkan banget,KOMPETITOR,Bintang 4,TheAlana,positive,0.9988559484481812,Service Quality,Service Quality (0.96); Guest Experience (0.94); Staff Conduct & Hospitality (0.94)
Dyah R,2025,5,nyaman banget kamarnya kamar mandinya super bersih kolam renangnya menurutku kurang luas kalau saat lagi rame tapi okelah,KOMPETITOR,Bintang 4,TheAlana,positive,0.998327910900116,Room Quality & Comfort,"Room Quality & Comfort (0.97); Facilities & Amenities (0.97); Cleanliness, Hygiene & Maintenance (0.97)"
Ifan Putra,2025,5,Beberapa hari tinggal di sini untuk liburan sangat memuaskan dan dianjurkan kamar nyaman dan fasilitas lengkap sekali tak lupa makanannya juga enak dan bikin nagih stafnya ramah dan rendah hati sangat peduli membantu saat sedang ramai terima kasih untuk pelayan terbaik hari ini mbak dewi,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993389248847961,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (1.00); Staff Conduct & Hospitality (1.00)
Umilatul Mardiyah,2025,5,Sudah beberapa kali kita menginap di hotel alana ini yang ke 3 atau ke 4 alhamdulillah kamarnya lega enak bersih dan nyaman ketika kita sarapan juga dilayani dengan baik oleh mbak ika dan tim yang lain jenis makanan emang tidak banyak tapi lumayan kok mencoba semua pasti kekenyangen,KOMPETITOR,Bintang 4,TheAlana,positive,0.9986944794654846,Service Quality,Service Quality (0.99); Facilities & Amenities (0.98); Room Quality & Comfort (0.98)
farida maharani,2025,5,cukup nyaman sekitar banyak opsi jajanan pelayanan kantor depan dengan mb cindy cukup ramah dan seorang yang lebih membantu,KOMPETITOR,Bintang 4,TheAlana,positive,0.9986894726753235,Food & Beverage,Food & Beverage (1.00); Facilities & Amenities (0.99); Guest Experience (0.98)
Danang Arif Maulana,2025,5,kamar yang saya tempati sangat luas dan nyaman serta fasilitasnya lengkap pelayanan yang diberikan oleh staf hotel sangat baik mereka sangat ramah dan profesional dan selalu siap untuk membantu terutama saya ingin menyampaikan terima kasih khusus kepada mbak ika yang telah memberikan pelayanan yang sangat baik dan membuat pengalaman menginap saya semakin menikmati terima kasih juga kepada seluruh staf hotel atas pelayananannya yang sangat baik saya pasti akan merekomendasikan hotel ini kepada kerabat dan keluarga saya saya saya juga berharap dapat kembali menginap di sini pada waktu lain,KOMPETITOR,Bintang 4,TheAlana,positive,0.9991239905357361,Facilities & Amenities,"Facilities & Amenities (1.00); Family & Group Friendly (0.99); Loyalty, Recommendation & Appreciation (0.99)"
Aida Nur Ramadhani,2025,5,alana strategis lokasinya sblm masuk solo dan dekat rumah cobain buber di alana puasa 2025 menu lengkap dan enak bakso n sandwich croissantnya juara mushola parkir nyaman,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995490908622742,Food & Beverage,"Food & Beverage (0.99); Location, Accessibility & Parking (0.99); Facilities & Amenities (0.97)"
Diah Nurhayati Mailasufa,2025,5,masakan banyak variasi dan kekinian kamar bersih dispenser dekat dilayani dng mbak ika,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993042945861816,Facilities & Amenities,"Facilities & Amenities (0.96); Cleanliness, Hygiene & Maintenance (0.96); Service Quality (0.95)"
Nuning Wahyuni,2025,5,kamarnya nyaman dan bersih sarapan semua banyak pilihan dan enak yang paling suka itu salad karena selain sayur juga buahnya pilihan segar pakaiannya dan campur nya banyak saat sarapan kita ditawarin anggur jawa serta varian pencuci mulut yang enak pelayanan oleh mbak diah dan karyawan alana memuaskan,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993102550506592,Service Quality,Service Quality (0.99); Facilities & Amenities (0.99); Room Quality & Comfort (0.99)
Jaka Tingkir,2025,5,bersih pelayanan prima rahasia terjamin,KOMPETITOR,Bintang 4,TheAlana,positive,0.9982718229293823,Service Quality,"Service Quality (0.99); Cleanliness, Hygiene & Maintenance (0.97); Guest Experience (0.96)"
Alifa Izzaty Hanifa,2025,5,makanan sangat bervariasi pelayanan oke dilayani mbak lka dengan sangat ramah,KOMPETITOR,Bintang 4,TheAlana,positive,0.9990748167037964,Service Quality,Service Quality (0.99); Guest Experience (0.99); Food & Beverage (0.99)
Rosi Hutasoit,2025,5,hotelnya sangat nyaman enak dan sarapan paginya enak staf wibi di bagian resto yang ramah serta semua staf ramah hotel alana dianjurkan,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994363188743591,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.98); Food & Beverage (0.97); Service Quality (0.97)
Amelia Elizabeth,2025,5,Hotelnya nyaman sekali super dianjurkan terima kasih kak Cindy sangat membantu dan ramah,KOMPETITOR,Bintang 4,TheAlana,positive,0.9991145730018616,Guest Experience,"Guest Experience (0.98); Loyalty, Recommendation & Appreciation (0.97); Service Quality (0.97)"
Syad Djati,2025,5,sarapan di resto sangat enak menuunya lengkap sudah beberapa kali menginap di alana tidak pernah ada kendala pelayanan selalu memuaskan dan cepat tanggap meskipun hari ini kebetulan ramai tapi tetap menikmati pelayan pagi dengan ms dewi,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995038509368896,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Service Quality (0.99); Guest Experience (0.96)
juwita lestari,2025,5,semua sudah baik menu sarapan enak banyak dan beragam pelayanan mba ika sangat baik,KOMPETITOR,Bintang 4,TheAlana,positive,0.9984444975852966,Service Quality,Service Quality (0.99); Guest Experience (0.98); Food & Beverage (0.98)
Wi Dodo,2025,5,makanan mantap sekali kamar juga bersih rapi nyaman untuk keluarga fasilitasnya oke pelayanannya tidak perlu di ragukan sangat luar biasa pagi ini dengan mba dewi terimakasih alana solo mempertahankan kualitasnya,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994248151779175,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.98); Guest Experience (0.97)"
putriade pans,2025,5,Sangat menyenangkan untuk sarapannya juga menu menu variatif pelayan dewi,KOMPETITOR,Bintang 4,TheAlana,positive,0.9989637136459351,Food & Beverage,Food & Beverage (0.99); Staff Conduct & Hospitality (0.95); Service Quality (0.91)
Gibran Alien,2025,5,cara meja nyaa baguss apalagi dilayani kak tika dari hotel alana solo,KOMPETITOR,Bintang 4,TheAlana,positive,0.9994833469390869,Service Quality,Service Quality (1.00); Service Efficiency & Responsiveness (0.91); Staff Conduct & Hospitality (0.85)
Ririn Rca,2025,5,Hotel yang sangat dekat bandara ini lokasinya lumayan tenang layanan oke semua karyawan ramah membantu sarapan cukup beragam dan enak sempet dibantu oleh mb ika yang informatif ramah sudah beberapa kali tinggal di sini mantap dan puas,KOMPETITOR,Bintang 4,TheAlana,positive,0.999477207660675,Service Quality,Service Quality (0.98); Facilities & Amenities (0.96); Guest Experience (0.96)
mimibebel muttt,2025,5,Mba melisa pelayanan nya baik makanannya enak enak,KOMPETITOR,Bintang 4,TheAlana,positive,0.9980093836784363,Service Quality,Service Quality (1.00); Guest Experience (0.99); Food & Beverage (0.94)
shafadiyan pramiswari,2025,5,makanan sarapan enak dan banyak variasi sudah menginap beberapa hari di alana pelayanan nya sangat cepat tanggap anak-anak ramah juga banyak area bermain area kolam renang juga bagus resto nya dingin tidak terlalu luas tapi sangat nyaman mudah diakses makanan terima kasih ms dewi untuk pelayanan nya,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995092153549194,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.99); Facilities & Amenities (0.98); Service Quality (0.97)
Yustitea Ardiyanto,2025,5,untuk cek masuk layanan resepsi kak cindy sangat ramah pelayanan oke sukses alana hotel,KOMPETITOR,Bintang 4,TheAlana,positive,0.9991807341575623,Guest Experience,Guest Experience (0.99); Service Quality (0.99); Staff Conduct & Hospitality (0.97)
Neny Srikandi,2025,5,nyaman eksklusif dan memiliki pelayanan yang baik kamar kamarnya luas dan nyaman kamar mandinya luas cocok untuk keluarga pelayanan juga ramah banget sama kak cindy dianjurkan,KOMPETITOR,Bintang 4,TheAlana,positive,0.9993517994880676,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (0.99); Service Quality (0.98)
Khadijah Nur Al Firdausi,2025,5,anggur jawa enak tidak terlalu pedes mirip minuman sirup pdhl jamu sehat makanan bervariasi rasa oke anak2 menambah banyak pelayanan dengan roy iskandar,KOMPETITOR,Bintang 4,TheAlana,positive,0.9984205961227417,Guest Experience,Guest Experience (0.96); Food & Beverage (0.94); Service Quality (0.93)
Najibah Rahma,2025,5,Staff nya ramah mas wibi dll memilih dsni krna bersih sarapan jg enak anak2 makan lahap ada waffle pancake dll,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995077848434448,Service Quality,"Service Quality (1.00); Staff Conduct & Hospitality (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
chasa dhani,2025,5,Semua sarapan pelayanan yang sempurna oke nagih terima kasih untuk mb dewi pelayanan n ramahnya ya,KOMPETITOR,Bintang 4,TheAlana,positive,0.9983915686607361,Service Quality,Service Quality (0.99); Food & Beverage (0.99); Guest Experience (0.99)
Yusuf Anha Habibullah,2025,5,Untuk mba ika terimakasih atas pelayanan yang baik dan ramah berikutnya ke solo pasti tinggal di alana lagi terima kasih,KOMPETITOR,Bintang 4,TheAlana,positive,0.9963409304618835,Service Quality,Service Quality (1.00); Guest Experience (0.98); Service Efficiency & Responsiveness (0.98)
dewa ayu Widiasrini,2025,5,Saya tinggal 3 hari 4 kamar sanitasi kit tidak di isi ulang lalu untuk suhu kamar kamar tidak bisa disetting atau diatur suhu kamarnya jadi kedinginan,KOMPETITOR,Bintang 4,TheAlana,negative,0.986409604549408,Facilities & Amenities,"Facilities & Amenities (0.95); Guest Experience (0.90); Cleanliness, Hygiene & Maintenance (0.82)"
Yuanita S.Mumpuni,2025,5,kamar nyaman staf ramah penanganan cepat ketika ada kendala makanan juga enak2 front liner sangat ramah khususnya mb cindy,KOMPETITOR,Bintang 4,TheAlana,positive,0.9992976188659668,Facilities & Amenities,Facilities & Amenities (0.99); Service Efficiency & Responsiveness (0.99); Staff Conduct & Hospitality (0.99)
Sony Glory,2025,5,makanannya enak pelayanannya baik sekali kamarnya enak terima kasih mba ika sama mba dewi,KOMPETITOR,Bintang 4,TheAlana,positive,0.999424934387207,Guest Experience,Guest Experience (0.99); Service Quality (0.99); Facilities & Amenities (0.95)
Anita Tinawan,2025,5,sarapan oke dilayani oleh ms ika dengan sangat baik,KOMPETITOR,Bintang 4,TheAlana,positive,0.9953226447105408,Service Quality,Service Quality (1.00); Service Efficiency & Responsiveness (0.96); Guest Experience (0.95)
Preman CS,2025,5,sarapan mantap mbak dewi pelayanan oke,KOMPETITOR,Bintang 4,TheAlana,positive,0.999338686466217,Service Quality,Service Quality (0.99); Guest Experience (0.97); Staff Conduct & Hospitality (0.96)
Chika Oktaviana,2025,5,pengalaman menginap yang menyenangkan proses cek masuk cepat kamarny bersih dan luas kamar layananenya baik sarapannya lumayan bervariasi pelayanan dari stafnya yang terbaik terima kasih kak dewi,KOMPETITOR,Bintang 4,TheAlana,positive,0.9991230368614197,Guest Experience,Guest Experience (0.99); Service Quality (0.98); Facilities & Amenities (0.98)
Ihsan saputra,2025,5,menginap di alana solo sangat memuaskan dari awal cek masuk sudah dilayani dengan baik untuk kamar sangat bersih dan nyaman untuk sarapannya juga sangat bervariasi menuunya enak komplit dan kopinya juga mantap sempat ditawarkan anggur jawa herbal minuman khas alana minuman racikan sendiri yang menyehatkan pelayanan luar biasa perawatan membantu ramah dan sangat ramah terutama mba dewi pelayan pagi direshtan kayu manis,KOMPETITOR,Bintang 4,TheAlana,positive,0.9995447993278503,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.98); Room Quality & Comfort (0.98)"
dhiann puspak,2025,5,untuk makanannya enak pelayanannya kak ika baik,KOMPETITOR,Bintang 4,TheAlana,positive,0.9989055395126343,Service Quality,Service Quality (0.99); Guest Experience (0.98); Staff Conduct & Hospitality (0.96)
